customer_id,full_name,email,phone,state,created_at
CUST_00001,Allison Hill,donaldgarcia@example.net,0419-600-133,ACT,2024-10-24T20:53:38.310741
CUST_00002,Cristian Santos,lrobinson@example.com,2654 2351,NSW,2023-07-30T18:25:44.895430
CUST_00003,Ryan Munoz,blairamanda@example.com,8495.9310,NSW,2025-04-13T16:50:07.856781
CUST_00004,Victoria Wyatt,jamesshawn@example.com,07-5341-9283,ACT,2023-10-16T04:29:59.247263
CUST_00005,William Bowman,gabriellecameron@example.org,0256413953,QLD,2025-04-07T07:39:48.816789
CUST_00006,Thomas Ellis,donald88@example.com,0469.653.287,VIC,2023-07-28T18:08:10.232262
CUST_00007,Brian Burton,ycarlson@example.com,+61 478 480 184,VIC,2025-08-09T07:27:15.193673
CUST_00008,Edward Moore,mckaynancy@example.com,0428 148 932,VIC,2024-06-02T20:21:17.589898
CUST_00009,Troy Nielsen,georgetracy@example.org,(07)30391171,ACT,2026-03-26T17:42:33.362790
CUST_00010,Beth Keller,josephbrennan@example.com,03.4657.8713,NSW,2023-12-22T08:22:52.742782
CUST_00011,Kevin Hall,adrianzimmerman@example.org,0205183473,ACT,2024-11-30T23:48:24.321584
CUST_00012,Sonya Johnston,kristenaguirre@example.org,16566701,ACT,2023-06-25T13:25:02.641744
CUST_00013,Rebecca Rodriguez,jameswest@example.com,07-7317-8108,SA,2025-10-22T04:38:34.403326
CUST_00014,Tammy Allison,richardolson@example.com,2606-4746,NSW,2025-05-22T09:52:01.763919
CUST_00015,Rachel Stanley,smoore@example.org,9805-0097,SA,2024-10-22T03:01:19.317732
CUST_00016,Brooke Yu,yorkcasey@example.org,+61.436.193.990,WA,2025-02-26T19:27:43.437151
CUST_00017,Kevin Mills,james53@example.com,+61 3 4751 0799,NSW,2026-04-15T14:00:09.311782
CUST_00018,Daniel Baker,nicole35@example.com,08-8498-0841,NSW,2026-02-11T22:41:10.754418
CUST_00019,Brian Rodriguez,josephjacobs@example.net,(03).4874.0164,NSW,2023-06-07T10:49:57.038328
CUST_00020,Carlos Whitney,joycearnold@example.com,0401-128-059,VIC,2024-12-15T13:19:36.925034
CUST_00021,Andrew Diaz,nolanjason@example.org,+61.415.869.232,VIC,2026-03-24T18:56:26.754257
CUST_00022,Sierra Johnson,kimberly63@example.com,02-6073-3754,SA,2025-10-05T05:16:04.465048
CUST_00023,Courtney Keller,emurphy@example.com,(08)85014294,SA,2023-06-01T01:31:53.058339
CUST_00024,Haley Hartman,gobrien@example.org,+61 3 4060 8835,NSW,2024-08-04T17:22:49.265293
CUST_00025,Tammie Hanson,cortezkevin@example.com,+61.465.648.236,SA,2025-04-17T17:14:38.467649
CUST_00026,Paul Thompson,richard04@example.com,08.9957.7738,VIC,2024-09-19T14:56:14.295736
CUST_00027,Rebecca Jackson,campbellelizabeth@example.net,(02).3433.2003,ACT,2026-04-02T06:13:03.718482
CUST_00028,Patricia Gibson,jennifercruz@example.com,0301632870,ACT,2024-12-20T21:40:31.795461
CUST_00029,Barbara Anderson,jcontreras@example.net,(08).9868.7277,ACT,2024-01-29T03:28:54.496068
CUST_00030,Mark Cannon,rsims@example.com,4345.5812,SA,2023-10-02T09:53:45.467839
CUST_00031,Christian Lewis,irussell@example.com,+61-2-3669-0967,WA,2023-04-26T14:31:31.336692
CUST_00032,Paul Castaneda,vmedina@example.net,+61 437 346 706,VIC,2024-04-22T10:44:02.810235
CUST_00033,Jennifer Martin,ncalhoun@example.net,6990 1627,WA,2023-11-05T06:26:09.317214
CUST_00034,Garrett Gibson,kathleen64@example.com,(02) 7080 5310,SA,2025-07-24T13:40:52.784868
CUST_00035,Christina Smith,johnwells@example.org,0437.452.991,QLD,2025-08-19T09:12:29.639862
CUST_00036,Eric Lane,barbara66@example.net,02.9314.9190,NSW,2024-05-04T13:57:17.686779
CUST_00037,Jacob Hunter,alexander67@example.org,+61-7-7262-8498,VIC,2025-08-15T22:21:38.361176
CUST_00038,Roger Vargas,melissa14@example.com,0899650752,ACT,2024-10-05T08:39:47.991899
CUST_00039,David Ramirez,angela83@example.org,0878377701,WA,2024-03-07T13:02:27.759803
CUST_00040,David Beck,thomas85@example.com,0455-744-431,QLD,2025-06-18T11:13:08.011421
CUST_00041,Patrick Tapia,jamesrodgers@example.com,0489.413.435,QLD,2023-11-02T18:16:53.665582
CUST_00042,Joseph Hill,tranheidi@example.org,+61-471-094-777,VIC,2024-04-27T11:04:48.848181
CUST_00043,Dawn Hensley,shortrichard@example.org,0402.294.131,VIC,2024-12-21T15:13:19.360150
CUST_00044,Kyle Montgomery,chayes@example.com,0464.990.913,QLD,2025-03-05T12:45:22.850308
CUST_00045,Brad Allen,moorericky@example.net,+61 474 034 471,NSW,2025-05-12T07:45:35.900637
CUST_00046,Rachel Weber,ronaldstephens@example.net,07 2102 4994,NSW,2024-08-13T07:58:20.234618
CUST_00047,Eric Powell,vincent77@example.org,+61 406 594 013,WA,2026-03-09T03:01:27.834108
CUST_00048,Laura Sampson,barbara27@example.net,+61-474-296-717,NSW,2024-05-05T09:52:10.309334
CUST_00049,Michael Hodge,robert74@example.net,+61 2 7154 5168,QLD,2025-10-10T00:44:02.944513
CUST_00050,Sean Murray,lopezmichael@example.com,+61-470-348-247,QLD,2025-12-10T07:15:25.376578
CUST_00051,Mr. Mark Lloyd,lancesmith@example.com,3171.2748,SA,2025-06-01T01:48:41.782513
CUST_00052,John Kennedy,yarnold@example.org,+61 482 146 584,QLD,2025-10-05T05:36:43.902959
CUST_00053,Edwin Matthews,cgrimes@example.net,+61758867533,NSW,2025-01-05T16:08:25.853469
CUST_00054,Reginald Williams,zthornton@example.com,+61 3 7028 9517,ACT,2023-08-07T09:36:41.269055
CUST_00055,Alexis Thomas,charlesharrington@example.com,(08).1586.5780,WA,2025-02-24T16:55:03.376092
CUST_00056,Michael Mitchell,juliehamilton@example.org,+61-417-240-050,SA,2024-03-06T14:13:12.758724
CUST_00057,Charles Schmidt,georgemiller@example.com,+61 437 923 747,NSW,2024-01-24T21:50:50.651767
CUST_00058,Robert Santana,charleslandry@example.net,(08)-4743-6713,WA,2024-06-11T00:16:50.091875
CUST_00059,Edward Lyons,spencedominique@example.com,9097 4395,NSW,2023-12-16T02:40:36.411634
CUST_00060,David Campos,courtneyberger@example.net,4709-5214,SA,2024-04-12T03:15:59.970038
CUST_00061,Curtis Buchanan,alyssa42@example.com,+61751712368,QLD,2024-05-24T22:19:38.329417
CUST_00062,Alexis Herrera,vrichardson@example.net,(08) 5137 0985,ACT,2026-01-17T00:07:27.761817
CUST_00063,Arthur Colon,debra12@example.org,4711-3826,SA,2024-08-29T05:01:35.510820
CUST_00064,Natalie Bautista,umatthews@example.org,+61-2-7964-0537,QLD,2024-08-19T09:43:19.451515
CUST_00065,Jack Pollard,amy50@example.com,(03) 1713 9005,SA,2024-01-12T00:39:00.472046
CUST_00066,Justin Jones,brendali@example.org,(03).9042.2842,VIC,2023-08-18T14:13:40.645888
CUST_00067,Bonnie Howard,briannasmith@example.com,2681-1775,ACT,2024-11-02T12:11:09.434693
CUST_00068,Jonathan Dougherty,acostaregina@example.net,0447 007 661,NSW,2024-10-08T08:09:47.900968
CUST_00069,Angel Miller,cameronhill@example.net,0485.698.478,NSW,2025-02-11T12:29:32.329776
CUST_00070,Michael Farrell,russellbeasley@example.com,(08).6615.6545,ACT,2026-02-28T00:16:08.696940
CUST_00071,Kara Davis,daviscolin@example.net,(03)80988516,VIC,2024-05-11T14:06:26.452021
CUST_00072,Nicole Parrish,schmittcaroline@example.com,98327315,QLD,2025-11-01T10:24:43.042230
CUST_00073,Phillip Andrews,xbruce@example.net,+61 480 940 244,NSW,2026-01-23T21:18:47.042507
CUST_00074,Christopher Thomas,vjones@example.net,1836 6752,VIC,2024-05-29T14:49:40.016728
CUST_00075,Paula Bradley,wareeric@example.net,1476-7976,NSW,2024-02-13T10:59:33.634652
CUST_00076,Ashley Jordan,erika97@example.net,+61.440.369.003,WA,2024-03-15T09:57:15.186542
CUST_00077,Chad Scott,david76@example.org,08 8388 5160,QLD,2024-08-10T02:49:12.801772
CUST_00078,Blake Edwards,tberry@example.net,+61-7-1605-2975,WA,2023-07-25T17:02:32.466729
CUST_00079,Dana Chapman,fosterkyle@example.com,0721818835,ACT,2024-05-08T20:24:28.541254
CUST_00080,Maria Hernandez,thomasjames@example.net,02 2779 9799,QLD,2024-04-08T06:56:25.108724
CUST_00081,Emily Gonzales,tramos@example.com,0405.814.770,VIC,2023-06-21T11:31:22.465163
CUST_00082,Angela Lin,gilbertwilliam@example.com,0480.793.597,QLD,2024-10-20T12:01:16.260471
CUST_00083,Joanna Shepherd,toni18@example.net,02-3778-8925,QLD,2024-06-01T16:25:50.472031
CUST_00084,Jason Morgan,mccormickdeborah@example.org,(02).8644.9251,VIC,2025-01-17T15:52:51.269490
CUST_00085,Gregory Ponce,tanderson@example.org,(08)-5281-6850,ACT,2024-05-21T10:46:16.207685
CUST_00086,Daniel Meza,ilee@example.org,4188.8059,QLD,2023-09-10T17:41:42.832677
CUST_00087,Christopher Guerra,jenniferwilliams@example.com,+61.437.947.383,ACT,2024-03-24T05:36:28.728479
CUST_00088,Julie Conley,erika97@example.com,(08)-8862-3924,ACT,2023-06-16T07:39:24.043389
CUST_00089,Mr. Timothy Dawson,mitchellkathryn@example.com,+61.3.6137.5060,ACT,2024-06-27T13:05:46.650066
CUST_00090,James Miller,anthonygalvan@example.net,+61-452-204-727,NSW,2024-08-23T16:25:43.354475
CUST_00091,Bobby Scott,anaacosta@example.net,+61-2-4341-0369,SA,2024-09-02T00:16:26.605703
CUST_00092,Taylor Carlson,chenbailey@example.net,07 6095 3962,ACT,2025-04-17T02:34:00.151478
CUST_00093,William Jones,myerstheodore@example.net,+61 7 4051 5319,VIC,2025-07-03T16:49:10.103760
CUST_00094,Andrew Payne,mariacohen@example.net,+61321704303,SA,2025-12-15T17:15:51.166327
CUST_00095,Eric Sanders,wking@example.net,07.5054.1566,ACT,2025-07-12T14:22:17.498771
CUST_00096,Jasmine Beltran,xholt@example.net,(02) 6169 2845,VIC,2023-08-10T13:30:38.334851
CUST_00097,Edward Griffin,cjackson@example.com,+61.2.5964.0165,VIC,2024-11-02T08:11:25.473634
CUST_00098,Caitlin Johnson,ejohnson@example.org,+61-455-690-927,WA,2026-02-22T18:51:29.294394
CUST_00099,Phillip Berry,raymond43@example.org,2786 8144,WA,2025-05-30T13:41:02.573203
CUST_00100,Logan Benson,igonzalez@example.org,+61.3.7155.1884,QLD,2025-12-21T18:59:04.886027
CUST_00101,Michelle Ho,laurahicks@example.org,03.3705.8957,ACT,2025-09-16T17:30:43.471158
CUST_00102,Lisa Miller,raymond78@example.com,+61-2-2517-7852,ACT,2025-12-07T03:21:04.106802
CUST_00103,Margaret White,ryanbartlett@example.org,82422535,SA,2026-02-21T07:36:34.544333
CUST_00104,Diane Miller,cynthiapierce@example.org,+61-449-818-299,VIC,2023-10-06T02:20:57.807960
CUST_00105,Michelle Jacobs,bryananthony@example.org,+61-494-396-907,ACT,2025-12-19T05:35:09.639246
CUST_00106,Maria Turner,lindacohen@example.com,+61.2.0276.7735,QLD,2025-02-12T20:55:44.868870
CUST_00107,Nathan Gross,theresa25@example.net,0415-371-473,NSW,2023-09-21T12:09:34.292824
CUST_00108,Tony Lin,kwright@example.com,0453.278.774,VIC,2024-10-16T02:54:38.149126
CUST_00109,James Bryant,jasongomez@example.org,(08)-9748-0162,NSW,2025-12-12T01:34:19.912792
CUST_00110,Pamela Diaz,jwilliams@example.org,(07)16878499,QLD,2023-08-28T07:52:11.177957
CUST_00111,Jennifer Norton,angela52@example.org,+61 486 800 025,WA,2025-09-17T01:30:35.308426
CUST_00112,Brittany Barry,markaustin@example.org,+61 7 9588 8794,QLD,2024-09-21T11:48:40.258139
CUST_00113,Gary Rodriguez,ysilva@example.net,+61-409-749-930,NSW,2025-01-18T12:29:29.942562
CUST_00114,Mark Harvey,rhernandez@example.org,9130-7562,VIC,2024-07-15T15:09:40.823781
CUST_00115,Jonathan Carr,vsalas@example.net,2838-5786,SA,2024-03-28T22:17:00.832114
CUST_00116,Thomas Peterson,erica49@example.com,03.4843.4437,ACT,2024-04-01T12:45:09.140703
CUST_00117,Timothy Pope,keith98@example.com,+61 7 2404 1574,QLD,2025-07-17T00:22:12.172852
CUST_00118,Ronald Nelson,derrick99@example.org,0283301657,VIC,2023-08-08T07:31:20.852446
CUST_00119,Abigail Pierce,richarddonovan@example.com,+61345401938,ACT,2025-07-07T12:50:50.782820
CUST_00120,Amanda Dorsey,lkhan@example.org,+61 8 2400 4991,WA,2026-01-31T11:13:09.147295
CUST_00121,Jesse Davidson,ismall@example.net,+61.7.3152.7420,WA,2025-07-05T06:26:54.200332
CUST_00122,Laura Todd,cherylfowler@example.com,+61-7-1612-2753,ACT,2023-04-27T15:05:16.473301
CUST_00123,Jeremy Adams,kevin90@example.com,+61-453-017-426,WA,2025-05-10T21:16:35.311901
CUST_00124,Stacy Carrillo,fowlershelia@example.com,+61 433 272 795,VIC,2024-07-18T19:02:31.204340
CUST_00125,Kaitlin Medina,kathleenbecker@example.net,8785.1910,QLD,2025-10-14T05:53:43.714588
CUST_00126,Christina Herrera,markmeyer@example.org,+61.439.718.707,VIC,2023-09-11T17:14:20.595324
CUST_00127,Justin Hansen,jennifer64@example.org,02.0651.8017,VIC,2023-05-24T22:00:45.416054
CUST_00128,Randy Cannon,ybrooks@example.com,+61 8 1825 1286,ACT,2024-11-19T14:32:32.834565
CUST_00129,Courtney Smith,goodsteven@example.net,0468-633-752,SA,2024-02-16T04:17:07.831606
CUST_00130,Molly Rodriguez,bmendez@example.org,02.1907.9030,SA,2024-07-03T21:55:09.616935
CUST_00131,Daniel Shields,taylorvictoria@example.org,0459.953.428,QLD,2023-12-18T08:16:32.639529
CUST_00132,Antonio Fry,conniesimmons@example.com,5685-6624,ACT,2024-06-05T15:18:58.824022
CUST_00133,Kara Atkinson,meredith27@example.org,0466-882-634,SA,2023-11-28T22:39:27.611612
CUST_00134,Tammy Boone,nicholsmaria@example.org,(08) 9901 3983,WA,2024-09-26T10:11:26.658682
